control,center_pearson,neighbor_pearson,neighbor_centered_pearson,prop_neighbor_pearson,prop_neighbor_centered_pearson,prop_neighbor_pearson_highconf,prop_ring_pearson,center_mae,neighbor_mae,prop_neighbor_mae,applied_graphs
oracle_sender_seed,0.9549402536431854,0.6841478795739994,0.7152115279132414,0.6841478795739994,0.7152115279132414,0.6831043941084348,0.45739380182412126,0.3171806335449219,0.40778589248657227,0.40778589248657227,0
predicted_sender_seed,0.3715506389806504,0.6801502038699524,0.7137413331460546,0.6801502038699524,0.7137413331460546,0.6785600459175264,0.41768672442539106,0.6827210783958435,0.40931347012519836,0.40931347012519836,928
shuffle_perturbation_gene,0.15699389049878154,0.678888145241092,0.7151956587127261,0.678888145241092,0.7151956587127261,0.6770221895004522,0.40919127407127037,1.0138535499572754,0.4109732210636139,0.4109732210636139,928
shuffle_sender_mask,0.4704571424768498,0.6607845040926834,0.6891500059796063,0.6607845040926834,0.6891500059796063,0.6597006836170227,0.43136565563363966,0.6566820740699768,0.415193647146225,0.415193647146225,928
shuffle_sender_seed,0.1612247373088787,0.6783432368845211,0.715211371009349,0.6783432368845211,0.715211371009349,0.676084453318169,0.40559839821716975,1.0101248025894165,0.41139620542526245,0.41139620542526245,928
noise_sender_seed,0.14112913176637096,0.6803031459934272,0.7153275755354477,0.6803031459934272,0.7153275755354477,0.6781377640170159,0.41524079356497196,1.6188862323760986,0.4099750518798828,0.4099750518798828,928
randomize_coordinates,0.9506015967298133,0.6833744415784561,0.7147420059744074,0.6833744415784561,0.7147420059744074,0.6823472762764661,0.45601946388818465,0.3337879776954651,0.40856263041496277,0.40856263041496277,928
randomize_ccc_edge_scores,0.954940173480592,0.6841639606468574,0.715230009348739,0.6841639606468574,0.715230009348739,0.683119004691158,0.4574920182017905,0.3171822726726532,0.4077702760696411,0.4077702760696411,928
cell_type_mean_sender_seed,0.3790335773382095,0.6781973986855567,0.7133969454405624,0.6781973986855567,0.7133969454405624,0.6763756641818017,0.40555431893014293,0.6684896349906921,0.4106934666633606,0.4106934666633606,928
random_profile_random_region,0.4606194464920427,0.6559421275350256,0.6884363369550439,0.6559421275350256,0.6884363369550439,0.6538322468508956,0.41346161062032044,0.6626406908035278,0.4270658493041992,0.4270658493041992,928
