method,display_method,bootstrap_unit,metric,point,ci_low,ci_high,n_units,one_sided_sign_flip_p_greater_than_zero
target_only_utility_source,Target-only (MLP-context U),target_spec,target_qualified_float,0.6944444444444444,0.5277777777777778,0.8333333333333334,36,
target_only_utility_source,Target-only (MLP-context U),target_spec,tqr_delta_vs_target_only,0.0,0.0,0.0,36,1.0
target_only_utility_source,Target-only (MLP-context U),target_spec,s_reduction_vs_target_only,0.0,0.0,0.0,36,1.0
target_only_utility_source,Target-only (MLP-context U),target_spec,burden_delta,0.0,0.0,0.0,36,1.0
target_only_utility_source,Target-only (MLP-context U),target_spec,spillover_regret,0.466828554454777,0.36290716784488825,0.5755741340315176,36,
target_only_utility_source,Target-only (MLP-context U),program,s_reduction_vs_target_only,0.0,0.0,0.0,6,
target_only_utility_source,Target-only (MLP-context U),program,burden_delta,0.0,0.0,0.0,6,
target_only_utility_source,Target-only (MLP-context U),program_ring,s_reduction_vs_target_only,0.0,0.0,0.0,18,
target_only_utility_source,Target-only (MLP-context U),program_ring,burden_delta,0.0,0.0,0.0,18,
random_observed_target_qualified,Random observed target-qualified,target_spec,target_qualified_float,1.0,1.0,1.0,36,
random_observed_target_qualified,Random observed target-qualified,target_spec,tqr_delta_vs_target_only,0.3055555555555556,0.16666666666666666,0.4722222222222222,36,0.00034998250087495624
random_observed_target_qualified,Random observed target-qualified,target_spec,s_reduction_vs_target_only,-0.09830895941927459,-0.2709240081267568,0.06328198327519702,36,0.8695565221738913
random_observed_target_qualified,Random observed target-qualified,target_spec,burden_delta,0.08193781723578769,-0.021415406506922526,0.18648488262875165,36,0.0679466026698665
random_observed_target_qualified,Random observed target-qualified,target_spec,spillover_regret,0.38489073721898925,0.37277584542623826,0.3966459609361158,36,
random_observed_target_qualified,Random observed target-qualified,program,s_reduction_vs_target_only,-0.09830895941927459,-0.21151667327596438,0.011010109567841323,6,
random_observed_target_qualified,Random observed target-qualified,program,burden_delta,0.0819378172357877,0.012235077718893672,0.1349838367766804,6,
random_observed_target_qualified,Random observed target-qualified,program_ring,s_reduction_vs_target_only,-0.09830895941927456,-0.2649827498419702,0.06561847218851254,18,
random_observed_target_qualified,Random observed target-qualified,program_ring,burden_delta,0.0819378172357877,-0.02034195618083082,0.18803443987336424,18,
aggregation_constrained,Path2 aggregation,target_spec,target_qualified_float,0.6666666666666666,0.5,0.8055555555555556,36,
aggregation_constrained,Path2 aggregation,target_spec,tqr_delta_vs_target_only,-0.027777777777777776,-0.25,0.19444444444444445,36,0.688565571721414
aggregation_constrained,Path2 aggregation,target_spec,s_reduction_vs_target_only,-0.1637918336195897,-0.3535777358532657,0.018307376451829113,36,0.9489025548722564
aggregation_constrained,Path2 aggregation,target_spec,burden_delta,-0.005775487257374673,-0.11915199394441313,0.10931521817627876,36,0.5367731613419329
aggregation_constrained,Path2 aggregation,target_spec,spillover_regret,0.47260404171215165,0.36985399960022836,0.5823598311179212,36,
