patch_size,split,n_anchors,radius_um_mean,radius_um_sd,radius_um_p10,radius_um_p25,radius_um_median,radius_um_p75,radius_um_p90
32,all,3107,70.59227462683262,15.360973948740169,53.136613564744934,59.06669950084673,67.83251432757008,80.06558933807358,92.81729349718414
32,train,1342,71.88268303552563,13.382507390443905,55.99598142226576,61.2474489264655,69.86589028151582,80.62257748298549,91.31018429691818
32,val,837,66.22660372390052,14.491837806869867,50.585569312390284,55.915114235777075,63.73774391990981,74.33875167098248,86.1756633397205
32,test,928,72.66376003770341,17.8244269756602,52.57803073549444,58.75637568827625,68.53463791082501,83.09293830918493,99.64121646554503
64,all,3107,101.97521412149064,18.934942530044275,81.19113243315397,87.78880905581488,98.18477478713285,114.49071977185471,129.37502937427877
64,train,1342,102.5756419576185,17.251546130637276,80.8279018730023,89.39553679168245,100.678945167299,115.38901508350062,125.89886784786145
64,val,837,96.67486462153285,17.894148162482097,78.76039549056134,85.21296849658508,92.82375773475236,105.34229919647663,122.76297732022326
64,test,928,105.88751840530642,20.97690740413749,83.52215270497958,89.11614193126304,100.485062977236,119.21487889413149,137.5740444931272
100,all,3107,129.33424153238195,21.493156718311646,104.01562382642331,114.03563033228303,125.79447523639502,143.91837964624256,158.73669980348186
100,train,1342,128.69211336960706,20.191103963527965,101.56843918509163,113.60925118643452,126.64171881808514,144.64589422091245,155.8580278631687
100,val,837,123.85020406782839,20.560071937909843,102.1222306687618,110.20548988140291,120.71143276425808,134.51486906658312,154.24023074228856
100,test,928,135.20910721371297,22.662738077300563,111.25174154033805,117.6947830184767,130.62828908177437,149.50313536558482,167.54372527883552
128,all,3107,147.44509780794382,23.312859088942496,118.89343939883598,130.77365930151467,144.60463339741227,163.1418090181368,178.91827644389252
128,train,1342,145.78880597467477,21.96634871177996,116.04147937156675,129.51447785807807,143.91056191345754,163.39426953083972,175.50227899963218
128,val,837,142.07553059420852,22.581863514314854,117.77775584818681,125.83421633244274,139.9151528605819,154.6560700392972,174.88210271437723
128,test,928,154.6833212973227,24.073904358245134,127.22832538608947,137.18167307346096,150.52532903544756,169.53391296656332,187.43952051122923
